Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
United Arab Emirates,ARE,AED,18,3.67295,4.900692904,3.16344464,59671.14064,-13.872,-16.475,-14.179,61.026,41.165,-9.297,-21.318,-17.761,59.291,23.064
Argentina,ARG,ARS,3150,821.44,3.834729256,553.602812,3216.149036,-32.606,-34.642,-32.846,26.001,10.46,-13.459,-24.929,-21.535,51.981,17.417
Australia,AUS,AUD,7.7,1.517450683,5.0743,1.353251318,68917.97462,-10.821,-13.516,-11.139,66.73,46.166,-8.771,-20.863,-17.285,60.214,23.777
Azerbaijan,AZE,AZN,5.95,1.7025,3.494860499,1.0456942,12600.72017,-38.579,-40.435,-38.798,14.833,0.67,-23.904,-33.989,-31.005,33.639,3.246
Bahrain,BHR,BHD,1.7,0.37695,4.509881947,0.298769772,36221.33506,-20.74,-23.135,-21.023,48.185,29.908,-9.79,-21.746,-18.208,58.425,22.395
Brazil,BRA,BRL,23.9,4.96975,4.809095025,4.200351494,11624.95331,-15.482,-18.036,-15.783,58.016,38.527,5.097,-8.833,-4.711,84.568,42.593
Canada,CAN,CAD,7.47,1.34465,5.555348976,1.312829525,54563.86272,-2.366,-5.317,-2.715,82.536,60.023,4.521,-9.332,-5.233,83.557,41.812
Switzerland,CHE,CHF,7.1,0.86935,8.167021338,1.247803163,71667.52948,43.533,39.195,43.021,168.35,135.253,45.592,26.296,32.005,155.686,97.537
Chile,CHL,CLP,4050,908.85,4.456180888,711.7750439,18605.85936,-21.684,-24.051,-21.963,46.42,28.361,-5.108,-17.685,-13.964,66.647,28.748
China,CHN,CNY,25,7.2013,3.471595406,4.393673111,19427.08478,-38.988,-40.832,-39.205,14.069,0,-26.296,-36.065,-33.174,29.437,0
Colombia,COL,COP,19900,3911.86,5.087094119,3497.363796,8102.744876,-10.596,-13.298,-10.915,67.151,46.535,12.665,-2.268,2.151,97.859,52.861
Costa Rica,CRI,CRC,2950,516.455,5.712017504,518.4534271,16322.12879,0.387,-2.647,0.029,87.684,64.536,22.661,6.404,11.214,115.415,66.424
